Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1325855789,GBJ1134,NY,PAS,07/21/2013,67,SUBN,FORD,P,0,0,0,20140831,102,102,102,944464,0102,0000,0200P,,Q,,,N/W C/O 97 AVE,126 ST,0,408,K6,,BBBBBBB,ALL,ALL,GY,0,2002,-,0,,,,,
1295547478,72044,RI,PAS,07/17/2013,67,P-U,FORD,P,0,40404,40404,0,103,103,171,953406,0171,0000,0555P,,Q,F,173-06,WARWICK,,0,408,C3,,BBBBBBB,ALL,ALL,RED,0,0,-,0,,,,,
1295547480,9N77D,NY,SRF,07/22/2013,67,SDN,TOYOT,P,0,40404,40404,20140630,103,103,171,953406,0171,0000,0215P,,Q,F,173-06,WARWICK,,0,408,D,,BBBBBBB,ALL,ALL,YELLO,0,0,-,0,,,,,
1295548021,GCG3830,NY,PAS,07/24/2013,67,SDN,NISSA,P,24290,39050,53790,20150531,103,103,171,953027,0171,0000,0355P,0355P,Q,O,97-27,165 ST,,0,408,E2,,BBBBBBB,ALL,ALL,BK,0,2005,-,0,,,,,
1307964011,78439,MA,PAS,07/26/2013,67,SUBN,CHEVR,K,14710,11115,27240,0,0001,1,1,160213,0001,0000,0814P,,NY,F,345,CHAMBERS ST,,0,408,F7,,BBBBBBB,ALL,ALL,BLACK,0,0,-,0,,,,,
1307964485,GAA1955,NY,PAS,07/21/2013,67,SDN,JEEP,K,14710,11115,27240,20140630,0001,1,1,160213,0001,0000,0445P,,NY,F,345,CHAMBERS ST,,0,408,C3,,BBBBBBB,ALL,ALL,BLACK,0,2012,-,0,,,,,
1311687713,7501500,NY,PAS,07/26/2013,67,SDN,TOYOT,K,11115,10015,45210,20141030,0001,1,1,160375,0001,0000,0647A,,NY,O,30,WEST STREET,,0,408,C,,BBBBBBB,ALL,ALL,GREY,0,2013,-,0,,,,,
1338444359,473HFT,FL,PAS,08/05/2013,67,SDN,NISSA,P,16940,54690,22640,0,107,107,107,943917,0107,0000,0300P,,,O,135-09,83 AVE,,0,408,F1,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1338475708,OL5461G,NJ,PAS,07/05/2013,67,LIMO,LINCO,P,33390,14080,11510,20140331,0001,1,574,946519,0574,0000,0630P,,NY,F,123,WASHINGTON ST,,0,408,C3,,BBBBBBB,ALL,ALL,BLACK,0,2007,-,0,,,,,
1339284870,GEX5974,NY,PAS,08/01/2013,67,VAN,CHRYS,P,70620,76850,52420,20150512,0046,46,46,933725,0046,0000,0130A,,BX,F,1815,UNIVERSITY AVE,,0,408,J6,,BBBBBBB,ALL,ALL,SILVE,0,2001,-,0,,,,,
1339333296,9237OPA,99,COM,07/29/2013,67,TRUC,MACK,P,0,0,0,20130930,0014,14,490,910924,0490,0000,0830P,,NY,F,373,5TH AVE ON,35TH ST,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1339465371,GHP9702,NY,PAS,07/23/2013,67,SDN,TOYOT,P,0,0,0,20150627,108,108,108,943327,0108,0000,0149P,,Q,,,N/S 39 AVE 10,W/O 49 ST,0,408,F1,,BBBBBBB,ALL,ALL,GL,0,2002,-,0,,,,,
1339465462,7H64A,NY,SRF,08/18/2013,67,SDN,CHECK,P,0,0,0,20140228,108,108,108,943327,0108,0000,0920A,,Q,,,S/S 37 AV,10  E/O 68 ST,0,408,C,,BBBBBBB,ALL,ALL,YW,0,2009,-,0,,,,,
1339465474,GFW3426,NY,PAS,08/22/2013,67,SDN,NISSA,P,0,0,0,20150701,108,108,108,943327,0108,0000,1019A,,Q,,,W/S 59 ST 10,N/O 48 AV,0,408,F2,,BBBBBBB,ALL,ALL,BL,0,2007,-,0,,,,,
