ZIPCODE,COUNT
11372,728
11215,1237
10304,210
10469,651
11367,84
11223,921
10305,256
11221,1519
11208,1205
10463,618
11218,1367
10302,152
11214,982
11233,874
11222,1931
11368,2217
11422,105
11216,1144
11206,1937
11377,1213
10024,286
11201,468
11106,508
11435,533
11375,179
10451,605
11238,1160
10012,1376
11692,9
10040,673
11385,665
10027,772
10001,645
10013,1656
11103,446
11357,244
10023,88
11432,881
11355,521
11229,648
11204,773
11235,778
11370,270
10065,185
11363,21
10473,372
11427,145
11102,424
11211,2790
10025,509
11249,987
11207,1307
11105,617
10037,102
11104,218
11230,1104
11231,642
10465,295
11356,596
11232,1115
10031,876
11418,641
11237,1298
10002,4099
11369,319
10462,2069
11361,213
11101,1216
10314,287
11354,464
10009,1343
10018,138
10457,1502
11374,169
11228,357
10467,1526
10128,496
11358,303
11219,1096
10019,173
11365,204
11234,485
10474,641
11373,1100
10303,159
11220,3060
10021,156
10461,1264
10458,1585
11378,479
10454,687
11360,23
10016,273
10466,606
11364,167
11226,876
10014,352
10459,1415
10010,142
11693,11
11366,38
10460,1212
11217,689
10470,309
11362,62
11213,710
11225,668
11426,81
10468,1076
11205,990
11236,392
10453,1061
11433,357
11209,1012
10456,965
11417,202
10464,96
11428,199
10003,1040
10034,697
11413,156
10011,531
10309,89
11423,187
10452,888
10029,700
11434,99
10030,252
10455,933
11416,272
11224,205
11379,169
10312,139
11420,176
11210,497
10033,770
10301,138
11429,136
10039,155
11203,418
10032,1008
10472,1435
11040,24
10026,408
10306,202
11694,35
10475,126
11212,1003
10017,22
11412,191
11421,396
11414,43
10028,250
10471,101
11419,190
10036,170
11691,201
10007,74
10308,83
10035,491
10310,101
11415,100
11004,100
11436,16
10075,148
10005,9
10038,191
10022,92
10004,7
11697,1
11411,63
10006,8
11001,14
10307,24
10044,1
11241,1
10282,1
11239,1
