ZIPCODE,COUNT
11106,2600
10023,2456
10458,26508
10027,9830
10463,17951
11203,13628
10456,18389
11104,3250
11216,12291
11218,7000
11691,5954
10026,6189
11221,13636
11417,1119
10009,6674
11238,8038
10039,4168
10457,18590
10453,23577
11692,1656
10016,2911
11233,13368
11372,4428
11360,150
11214,6910
10467,27963
11225,17883
10032,15776
10025,9820
11207,12151
11414,502
10014,3453
11223,4432
11235,8068
11367,2748
11208,10357
11415,1955
11226,27255
10452,21686
11421,1990
10460,13070
11219,4814
10304,2136
11230,10371
11375,3723
11209,7349
11373,6080
11423,1967
10462,14177
10470,2937
10031,17504
10468,23683
11212,15359
10033,12761
10065,1485
11220,6063
11236,4988
10472,12181
10035,4324
10466,9520
10461,6685
11354,1985
10455,7445
10002,5355
11205,2674
11370,727
10034,11022
10003,4284
11434,3038
10459,9680
10464,147
11365,533
10012,1949
11358,808
11377,5116
10128,2998
11211,4219
10302,815
11368,4415
11432,3614
11206,4887
10075,1479
10029,7809
10474,2570
10301,2214
10454,4061
10473,3849
11213,17417
11427,1044
10011,3683
10028,2786
11433,2457
10019,3372
11210,8055
10451,9936
11435,3419
11412,2072
11379,655
11436,976
10001,1859
11357,438
10036,3212
10040,22264
10310,793
10471,1237
10306,898
10038,437
11105,2525
10469,4549
,11908
11374,3241
11369,1481
10021,1413
11420,1523
11228,964
10013,1502
10030,7011
11204,4543
11237,6630
11364,915
11232,2225
11234,2751
11418,2129
10024,4039
11222,2804
10037,3336
11385,6569
10010,1624
11217,2327
11419,2309
11102,2216
11378,1107
10004,104
11362,206
11215,3530
11229,6348
11231,1433
11103,2886
10303,970
11201,2041
11355,4256
11224,2496
10018,685
11411,354
11413,1765
11101,1510
11693,656
10465,1054
11416,1201
11004,112
10312,149
11422,1093
11366,191
11429,986
10314,515
10475,325
11356,575
11001,54
11694,1790
11361,542
11428,705
10305,601
10022,1592
11239,345
10308,74
10307,76
11005,1
10006,44
10005,120
10017,370
11249,664
10309,136
10007,65
10282,12
11426,125
11363,96
11697,19
10280,32
10044,109
11109,5
11040,11
10069,3
11430,2
10803,4
