ZIPCODE,COUNT
11378,5678
10018,892
10033,1773
10461,3205
11222,2276
11220,5122
10306,2812
11385,8565
11234,6869
11236,3139
10023,3048
11358,2262
11223,6182
11364,1321
11210,2619
10017,2313
10473,1516
11375,2385
11373,2657
10065,1017
11204,6656
11217,3381
11379,4211
11426,820
11235,4370
11232,1839
11418,2129
10309,2347
11421,3212
11102,1474
11366,1430
11219,5652
11214,5890
10029,2437
10314,4680
10457,1678
10019,2825
11105,1688
11237,1740
11215,4938
11413,1166
11225,1549
10013,1695
10027,2434
11106,1606
11412,1001
11411,477
10467,2357
10031,1227
11208,2958
11365,2063
11432,1250
10036,3296
10452,1497
11422,1072
11103,1648
11206,3062
11377,4364
10456,1377
11239,263
11228,4061
11238,3255
11201,3931
11435,2001
11230,6702
11231,2449
10308,1961
10465,3730
11419,2255
10009,1679
10471,981
11360,956
11362,879
11414,1982
10002,3233
11361,1467
10028,1288
11372,1211
11427,816
11368,3017
10310,890
10453,1351
11416,1561
11211,2682
11356,2017
00083,12
10030,1146
10312,4489
10016,1621
11434,1852
11249,1361
,2658
11209,7033
10128,1277
10022,1592
10468,1380
10034,1933
11101,4524
10024,1892
11205,3257
10302,870
10472,1125
11354,2166
10475,1035
11229,4213
11218,5986
10462,2414
11207,3716
10304,1487
11370,1764
11369,2155
11367,1181
10463,2343
10301,1894
11691,831
11363,468
10011,1770
11433,1255
11374,2043
11420,2314
11357,2279
10303,1258
10025,2422
10014,1401
10469,2452
10040,938
11226,2738
10305,2695
11213,1821
10451,1170
10026,1149
11001,298
10035,1236
10459,712
10460,1207
10021,1314
11216,1938
11694,1470
11212,1401
10455,1145
10466,2426
11423,967
10039,551
10470,983
10003,1682
11417,1724
11104,730
11355,3098
10001,1491
10038,1329
11221,1904
11203,2621
10010,914
10454,968
11415,1103
10032,2166
10464,1243
11436,992
11040,91
11429,792
10458,1177
10307,810
10012,1212
10075,814
11233,2015
10282,115
11224,846
10281,36
11371,5
10007,716
10006,132
11004,478
10474,533
11693,533
10037,534
10041,1
11428,717
10004,522
10069,212
10103,5
10005,410
11692,292
11109,165
11430,59
10280,220
10048,5
11697,55
10020,35
10000,16
10119,9
11695,1
11451,1
11251,15
10044,8
10153,2
10045,1
11241,1
10120,1
10154,1
11005,1
11243,1
11359,2
10129,1
10162,1
10111,1
