ZIPCODE,COUNT
10463,11561
11216,14182
10455,8468
10458,19286
10010,2998
11208,13810
10304,5761
11372,7898
10466,11915
10460,13250
11239,396
11213,14244
10462,12540
10453,17871
10457,15480
11211,9252
10022,1437
10002,11115
11102,4423
11375,4549
10026,8973
10009,11320
10470,2076
11215,4497
10128,4737
11210,7506
10027,13053
11201,5782
11214,4946
11231,3159
10033,11806
10034,12180
10025,11627
10301,4875
11377,7805
11225,13211
11236,11053
10306,2800
11238,11588
11378,2315
11226,26137
11415,2999
10024,5041
10036,2457
10023,4307
10040,14241
10013,1955
10035,6831
11212,15209
10469,9101
11206,14963
10038,2705
11692,1823
10030,9697
10468,21054
10467,24038
10452,17863
10310,3400
11385,9393
11358,2007
11101,4583
11229,6557
10029,13802
11435,6145
11237,11786
10032,16627
11233,10659
11368,11345
11104,4239
10451,8120
11373,9727
10031,19495
11694,1547
11221,15542
10473,7405
11217,4824
11224,4644
11218,6071
11207,15898
11370,2419
10039,9109
10465,4348
11203,10569
11223,5290
11220,6819
10472,12158
10012,2934
11436,3007
10011,4553
11693,1281
11106,5323
10454,6145
10456,18511
10006,181
,2035
11367,2884
11235,6221
10003,6497
11230,7970
10474,3247
11691,6205
11427,1854
10001,4011
11355,4353
11205,8536
11374,3771
11209,5951
11249,3242
10021,1771
11414,1362
10016,3941
10305,1978
11222,4320
10065,1031
11412,3148
11420,7775
10471,1430
11421,5909
10014,3899
11204,4809
10459,8230
10075,1449
11232,3155
11105,2906
11365,3149
11360,650
11419,8789
10019,3074
11103,3384
11418,4548
10017,591
11434,4670
11426,631
10461,5686
11417,3303
11433,4409
10475,761
11416,4015
10028,3166
11234,7630
10037,3639
10280,141
10005,375
11422,2180
10303,2494
11432,5234
11354,3644
11366,1193
11357,1342
10314,3670
11428,2279
11423,3787
11363,203
11369,5271
11001,114
11379,1784
11219,3154
10018,897
11228,1321
11004,384
00083,6
11356,2103
10302,2057
10309,843
11429,2009
11361,935
11364,750
11413,2575
10007,408
10312,1621
10464,365
11411,1009
10308,935
10004,158
10307,486
11362,279
11109,44
11697,13
10162,16
10069,110
11430,6
11005,4
10281,11
10282,28
11040,24
10044,52
10111,2
10278,1
10000,1
10048,1
10119,1
10112,1
10803,1
10129,1
11242,1
