ZIPCODE,COUNT
11421,2390
11235,4352
10469,5695
10475,2592
10306,5292
11233,3727
11208,4908
11435,2600
11101,3716
11413,4015
11420,3419
10473,5920
11215,5243
11102,1583
11426,1891
11365,3155
10038,1166
11367,2512
11216,2980
11377,4869
11419,1983
11416,1708
11239,388
10314,7180
11205,2368
11414,3196
11423,2432
11372,2248
11369,2255
11212,3296
11206,3695
11220,4613
11370,2044
11201,4296
11236,1184
10465,5251
10002,2145
10040,820
10009,103
10453,1061
10034,857
10462,4275
10461,4878
11226,1852
11375,3676
10308,2410
11237,2353
11209,2936
11385,6378
11434,4950
11213,3532
11231,3720
11221,4341
11232,3660
11692,1601
11229,2533
10012,703
11234,3260
11412,3031
11223,1810
11104,1155
10459,1572
11374,2003
11429,2016
11436,1590
11356,1034
11207,7038
11222,3067
10472,2909
10013,1687
11354,3141
10312,5794
10468,1218
10460,1523
11204,3586
11432,3078
11368,3782
10467,2469
11378,3410
11105,2601
11217,3044
11379,2784
11364,3789
11106,1743
11357,3699
11361,2589
11362,2140
10304,2986
11691,3821
11210,1416
11203,1979
11224,1114
11230,1800
11225,2482
10471,621
11693,1147
11004,1730
10464,1580
11415,1017
11214,4425
11411,1862
11218,2485
10030,34
11694,2783
11103,1639
11417,2371
11422,2715
11355,3278
10032,135
11358,3399
11219,3675
11211,2686
11360,1366
11228,1895
10455,1276
11433,2268
10309,3172
11428,1946
11427,2028
11366,1970
11418,2297
10463,1530
11373,3536
10128,103
10474,2482
10301,4059
10027,292
10457,908
10303,1670
10452,1462
10016,65
10039,14
11238,3095
10456,1255
10451,184
10466,2238
10458,852
10302,1454
10305,3263
10014,1285
10310,1762
11363,1028
10065,53
10018,57
10005,732
10470,497
11249,359
10307,833
10025,299
10007,946
10004,574
10017,52
10029,69
10028,67
10001,37
10010,56
10022,88
10069,12
10024,65
10021,53
11430,131
11040,326
10033,163
10031,137
10003,250
10037,68
10011,186
11697,76
10454,536
10019,433
10026,228
10023,161
10048,26
11001,294
10006,295
10035,63
10280,43
10036,85
10075,14
11695,60
11359,15
10020,2
10282,7
10803,27
10119,1
10041,2
11241,1
10044,4
10281,5
11243,1
11005,1
10112,1
