ZIPCODE,COUNT
11222,4660
11235,5028
10019,1705
10474,2591
10455,2157
10459,3063
10456,4002
11360,561
10065,1652
10312,21162
11224,1817
10022,1675
10473,4307
11373,4013
11368,3544
11372,3243
11434,987
10305,6710
11436,602
10463,3628
11357,1627
11354,1310
11225,857
11226,2201
10475,1865
11358,845
11421,411
11212,1379
10314,15804
10462,4233
11359,13
11367,858
11213,1798
10458,3380
11205,2403
11374,3007
11220,1265
11232,846
10025,3922
11211,5421
10304,5879
10033,1960
11355,2636
10301,5902
10469,6696
10461,5452
10467,4339
11377,3140
10460,3337
11433,394
11365,2017
11237,2579
10029,2423
10452,3321
10451,2449
10453,2943
11218,2491
10457,4092
11103,1758
11101,3272
10302,2276
11215,5827
10026,1835
11206,3572
11415,1294
11385,6713
11201,4238
11217,3093
11416,189
11216,2257
10472,3403
11233,2032
11208,8124
11207,8232
11418,963
11356,2252
11251,56
10007,591
10013,1217
11366,390
11692,1878
11693,907
10308,6760
10040,1574
10465,5183
11221,3384
10014,2576
11105,3789
11370,2862
11236,4440
11238,3371
10001,838
11375,5708
10470,1391
11102,1600
10464,1063
11413,1987
10128,2134
11369,1932
11371,8
11223,4048
11204,2435
11104,1587
11203,723
11231,3338
11214,1817
11378,849
10031,2596
10027,3043
10466,5057
10310,3471
10021,2168
11106,1539
10803,42
11229,5067
10011,2169
10471,1830
10705,8
10003,2040
11209,922
10032,2217
10012,1049
11379,1338
10038,391
10023,2687
10306,12407
10010,889
11364,1109
11004,646
11417,194
11361,3779
10034,1571
10009,1900
10307,5086
11420,465
10020,119
11435,408
11430,34
11432,1345
11234,5335
10024,3699
10035,2010
11230,6027
10016,1880
10468,2982
11414,2544
11422,2285
10303,2879
10030,1341
11423,125
10006,102
11228,642
10017,844
11427,2226
10309,11393
11210,2371
10002,2261
10039,801
11412,257
11363,1239
11362,521
10028,1881
10454,1761
11694,3349
11411,264
11691,5690
10005,144
11239,579
11426,1292
11040,85
10075,816
11005,32
11001,81
10037,699
11219,833
11428,1845
11429,416
10018,515
10036,873
11109,27
10550,29
10044,55
10004,101
10280,468
11559,36
11697,30
11419,701
10704,12
11096,9
