ZIPCODE,SCORE
11226,48
11372,20
10305,24
11215,10
11109,30
10282,5
11434,19
10471,24
10075,9
11434,46
10026,22
11217,9
10128,16
10019,11
10123,32
10017,21
11373,28
11101,8
10001,10
10009,18
10025,7
11222,9
11422,20
10012,44
11433,10
10036,57
11201,16
10019,16
11214,18
11231,20
10010,13
10454,12
11106,23
11215,11
10028,13
10010,41
10010,
10458,23
11418,13
11692,7
11105,20
11372,9
10011,27
11421,
11377,17
10304,54
11372,10
10033,20
11239,27
11211,13
11385,19
10031,16
10309,14
10309,19
10458,22
10002,12
10021,17
10014,10
11101,9
10065,40
11385,30
11215,20
10004,11
10034,
10309,19
11374,11
10014,50
11218,12
11368,38
11237,10
11693,20
11369,12
11232,61
11377,4
11364,10
10024,43
10003,9
10013,44
11229,10
11373,
11430,7
11358,15
10037,50
11238,23
10013,9
11420,12
11215,13
10016,12
11372,9
11103,7
10002,
10465,10
11207,
10036,25
10451,4
10018,13
11368,
10023,10
11430,12
11238,40
10010,4
11372,20
10002,10
10025,19
10039,12
10016,10
10010,54
11232,7
11214,32
11216,12
11212,12
10019,12
11222,13
11104,20
10009,7
11231,9
11433,28
11201,
11106,13
10456,15
11373,21
11385,13
11226,
10036,18
10013,53
10308,11
10302,21
10467,2
11103,
11215,6
11201,22
10022,29
11354,12
10452,15
11206,9
11373,24
10013,
11361,
10038,22
10458,5
10036,9
11357,10
11230,22
10009,18
10019,21
11216,18
10014,
10308,42
10036,22
10014,8
10018,47
10021,18
11372,13
10002,9
10024,12
11369,13
10025,10
11201,5
11213,
10474,24
10003,40
11415,16
10011,11
11226,49
11378,17
11374,16
10309,12
10302,24
10304,9
11210,30
11372,4
10469,17
10128,24
11377,
11103,22
10010,28
11366,10
11355,10
10009,8
10001,
11206,19
10021,21
10460,10
11209,
11233,16
11103,13
10016,8
11238,12
10022,39
10029,15
10002,7
11211,11
11358,11
11231,10
11219,21
10010,3
10455,9
10453,27
10016,25
11364,13
10011,13
10031,53
11219,34
10017,26
10013,3
10022,12
11385,29
10003,10
11201,17
11209,32
11211,10
11418,31
10023,5
11229,36
11233,25
11358,3
10009,0
10002,6
11218,17
10453,10
11228,11
11235,29
11204,12
10011,27
10003,13
10467,14
11201,7
10040,10
11358,10
11211,2
10458,4
10314,
11418,55
10013,33
10025,7
10306,3
11385,
11215,8
11377,10
10013,7
11211,13
11211,13
11228,12
10458,12
10036,15
10016,12
10003,12
10029,10
10014,12
10456,15
10029,
11212,13
